tense,dataset,num_words,sentence_id,theme,numerosity,structure,sentence,audio_filename
past,naturalistic,12,nat_09798,humanity,singular,independent,The student did not attend the lecture because it was not required,nat_09798.wav
present,naturalistic,9,nat_10311,work,singular,dependent,The man who teaches us history is very knowledgeable,nat_10311.wav
future,naturalistic,8,nat_14151,food,plural,simple,The restaurants will offer a new menu soon,nat_14151.wav
present,naturalistic,7,nat_15421,health,plural,simple,Are there not enough resources for depression?,nat_15421.wav
future,naturalistic,9,nat_13835,food,plural,dependent,People who follow this diet will not lose weight,nat_13835.wav
past,naturalistic,9,nat_06215,transport,plural,preposition,Were the bicycles in the park easy to ride?,nat_06215.wav
present,naturalistic,10,nat_13504,basic,singular,dependent,The car that he is driving is not his own,nat_13504.wav
present,naturalistic,8,nat_04680,housing,singular,dependent,Isn't the house that we visited too expensive?,nat_04680.wav
future,naturalistic,10,nat_15681,weather,plural,preposition,Will the storms of next winter not be very strong?,nat_15681.wav
past,naturalistic,10,nat_15965,sport,singular,independent,The runner had been training for months before the competition,nat_15965.wav
future,naturalistic,11,nat_12092,relationship,plural,preposition,Are the relatives of our family going to visit us soon?,nat_12092.wav
present,naturalistic,9,nat_08730,science,singular,preposition,Does she not study physics in her free time?,nat_08730.wav
future,naturalistic,10,nat_03050,housing,plural,simple,Will the new house not have a big backyard then?,nat_03050.wav
present,naturalistic,8,nat_08440,health,singular,simple,My grandma has dementia and forgets things easily,nat_08440.wav
past,naturalistic,10,nat_04115,shopping,singular,independent,The store was open but the shelves were almost empty,nat_04115.wav
future,naturalistic,9,nat_10560,emotion,plural,dependent,Do the people who are fearful ever feel safe?,nat_10560.wav
future,naturalistic,8,nat_03507,basic,singular,dependent,He will marry the woman that he loves,nat_03507.wav
present,naturalistic,8,nat_09162,relationship,plural,simple,The sisters are going to the movies tonight,nat_09162.wav
future,naturalistic,11,nat_05933,shopping,plural,dependent,The items that are not on sale will not be bought,nat_05933.wav
past,naturalistic,8,nat_16492,housing,plural,simple,Had the cleaners vacuumed all the floors thoroughly?,nat_16492.wav
past,naturalistic,8,nat_18996,nature,plural,preposition,Were the flowers in the garden blooming beautifully?,nat_18996.wav
present,naturalistic,6,nat_02602,transport,plural,simple,Taxis are not cheap in cities,nat_02602.wav
present,naturalistic,10,nat_02319,health,plural,preposition,Are the kids under 10 not getting enough sleep tonight?,nat_02319.wav
present,naturalistic,7,nat_18487,weather,plural,simple,Do they have a lot of rain?,nat_18487.wav
present,naturalistic,10,nat_01535,transport,singular,independent,She doesn't like walking because it's too slow for her,nat_01535.wav
present,naturalistic,9,nat_15582,emotion,plural,dependent,The men standing over there are looking very angry,nat_15582.wav
future,naturalistic,9,nat_17897,health,plural,simple,The nurses will take care of the sick children,nat_17897.wav
past,naturalistic,10,nat_02766,work,plural,dependent,Did the workers who joined the union get better benefits?,nat_02766.wav
past,naturalistic,8,nat_10119,humanity,singular,simple,The artist's work was displayed in a gallery,nat_10119.wav
future,naturalistic,8,nat_12689,nature,singular,simple,Will the sun not shine brightly tomorrow morning?,nat_12689.wav
past,naturalistic,8,nat_04461,emotion,singular,dependent,Was the woman who was crying feeling sad?,nat_04461.wav
past,naturalistic,10,nat_08574,transport,plural,independent,The kids loved the amusement park rides while adults watched,nat_08574.wav
present,naturalistic,10,nat_06506,art,plural,independent,They are writing stories because they love to read books,nat_06506.wav
present,naturalistic,10,nat_15877,housing,plural,simple,The houses on this street are very old and historic,nat_15877.wav
past,naturalistic,10,nat_06478,weather,singular,independent,It was not sunny but the sky was still bright,nat_06478.wav
future,naturalistic,9,nat_08306,basic,singular,preposition,Are you going to stand behind me in line?,nat_08306.wav
past,naturalistic,10,nat_18432,nature,singular,simple,The eagle used to soar through the sky every morning,nat_18432.wav
future,naturalistic,10,nat_17613,humanity,singular,preposition,The actor in the movie will not win an award,nat_17613.wav
past,naturalistic,8,nat_10784,science,singular,preposition,Had the astronaut in space eaten breakfast already?,nat_10784.wav
future,naturalistic,10,nat_05382,emotion,plural,preposition,Are the families at the reunion going to be delighted?,nat_05382.wav
present,naturalistic,9,nat_04842,humanity,singular,preposition,A person with no job is not very happy,nat_04842.wav
past,naturalistic,9,nat_03105,food,plural,dependent,The boys weren't hungry after they ate the snacks,nat_03105.wav
present,naturalistic,9,nat_07046,sport,plural,dependent,The cyclists who ride fast are wearing special shoes,nat_07046.wav
present,naturalistic,6,nat_15219,transport,singular,simple,Is she a good driver now?,nat_15219.wav
present,naturalistic,9,nat_10192,basic,singular,independent,The flowers are blooming because spring is here finally,nat_10192.wav
present,naturalistic,7,nat_13033,relationship,singular,preposition,The book of my father is big,nat_13033.wav
present,naturalistic,10,nat_00438,shopping,plural,dependent,They do not offer discounts on the things we buy,nat_00438.wav
past,naturalistic,7,nat_03314,science,plural,simple,Scientists discovered many new species last year,nat_03314.wav
past,naturalistic,7,nat_04128,housing,singular,simple,Was the rent expensive for that apartment?,nat_04128.wav
past,naturalistic,10,nat_03919,art,singular,dependent,He had written a song that became very popular online,nat_03919.wav
present,naturalistic,10,nat_16081,art,plural,preposition,The photos in this exhibition are taken by amateur photographers,nat_16081.wav
future,naturalistic,11,nat_00738,science,singular,dependent,The drone that I bought will have a long battery life,nat_00738.wav
past,naturalistic,8,nat_13831,sport,singular,independent,Wasn't the swimmer tired after swimming so far?,nat_13831.wav
present,naturalistic,8,nat_13175,food,singular,dependent,Is the man sitting at the table hungry?,nat_13175.wav
present,naturalistic,10,nat_09922,food,plural,dependent,Do the kids sitting at that table want more juice?,nat_09922.wav
past,naturalistic,7,nat_14860,humanity,singular,simple,Did the artist not create that painting?,nat_14860.wav
present,naturalistic,6,nat_01911,relationship,plural,simple,Can your kids ride a bike?,nat_01911.wav
present,naturalistic,8,nat_12801,housing,singular,simple,Don't you think the house is too small?,nat_12801.wav
past,naturalistic,8,nat_03921,transport,plural,preposition,Were the taxis not available in the area?,nat_03921.wav
present,naturalistic,10,nat_02622,humanity,plural,independent,People watch TV for entertainment but also learn new things,nat_02622.wav
past,naturalistic,9,nat_09467,health,singular,independent,She didn't like therapy because it was too expensive,nat_09467.wav
present,naturalistic,9,nat_15572,relationship,plural,preposition,The girls on the team are not getting along,nat_15572.wav
future,naturalistic,11,nat_19914,sport,plural,dependent,Can the teams that will be playing in the finals win?,nat_19914.wav
present,naturalistic,7,nat_02730,food,singular,preposition,She does not eat breakfast every morning,nat_02730.wav
present,naturalistic,6,nat_10180,work,plural,simple,Are most jobs available online now?,nat_10180.wav
past,naturalistic,10,nat_19636,humanity,plural,preposition,The artists in the gallery had not sold their paintings,nat_19636.wav
past,naturalistic,9,nat_05194,food,plural,preposition,The men in the village had caught many fish,nat_05194.wav
present,naturalistic,9,nat_15318,relationship,plural,preposition,Do the friends of your brother play sports together?,nat_15318.wav
present,naturalistic,5,nat_00409,basic,singular,simple,My brother plays soccer daily,nat_00409.wav
present,naturalistic,9,nat_06373,relationship,plural,preposition,The kids next to us are our neighbors' children,nat_06373.wav
future,naturalistic,12,nat_00322,sport,singular,independent,The football player will kick hard but the ball will go wide,nat_00322.wav
past,naturalistic,9,nat_01901,weather,plural,preposition,The kids were not playing outside in the cold,nat_01901.wav
past,naturalistic,6,nat_06409,weather,singular,simple,Did she like the autumn leaves?,nat_06409.wav
present,naturalistic,6,nat_07900,relationship,singular,simple,Is my brother not playing outside?,nat_07900.wav
past,naturalistic,10,nat_17291,housing,plural,independent,Did the neighbors hear the noise when the roofers worked?,nat_17291.wav
future,naturalistic,10,nat_15484,emotion,plural,dependent,The feelings that we share will bring us closer together,nat_15484.wav
past,naturalistic,10,nat_01530,shopping,plural,preposition,Did the sales assistants in that shop help your friends?,nat_01530.wav
present,naturalistic,10,nat_12558,nature,plural,independent,Can rivers not flow if mountains are not high enough?,nat_12558.wav
present,naturalistic,8,nat_17408,relationship,singular,simple,I really care about my best friend's feelings,nat_17408.wav
present,naturalistic,9,nat_03024,emotion,singular,dependent,Is she crying because her mom is leaving her?,nat_03024.wav
future,naturalistic,9,nat_19133,art,singular,independent,The painter will not create because she's not inspired,nat_19133.wav
past,naturalistic,8,nat_05922,nature,singular,preposition,Was the squirrel hiding in a hollow tree?,nat_05922.wav
present,naturalistic,10,nat_14892,basic,singular,independent,My mom cooks dinner so I can study for exams,nat_14892.wav
future,naturalistic,10,nat_04768,work,plural,preposition,The people in the meeting will not agree on anything,nat_04768.wav
future,naturalistic,10,nat_19252,humanity,plural,dependent,The companies investing in new technology will see profits rise,nat_19252.wav
present,naturalistic,9,nat_05601,transport,singular,preposition,The scenery outside my car window is beautiful now,nat_05601.wav
past,naturalistic,10,nat_17751,food,singular,dependent,Did you like the dish that I cooked for dinner?,nat_17751.wav
present,naturalistic,6,nat_17365,emotion,singular,simple,My mom doesn't love her job,nat_17365.wav
future,naturalistic,6,nat_01077,weather,plural,simple,Will the meteorologists track a tornado?,nat_01077.wav
future,naturalistic,10,nat_03769,work,plural,preposition,The people without skills will not find a job easily,nat_03769.wav
present,naturalistic,9,nat_17763,relationship,plural,preposition,Do the families on your street know each other?,nat_17763.wav
future,naturalistic,10,nat_10961,science,plural,preposition,Researchers will be studying the effects of climate change soon,nat_10961.wav
present,naturalistic,9,nat_02859,transport,plural,preposition,Do the drivers not know the new traffic rules?,nat_02859.wav
future,naturalistic,12,nat_09002,art,singular,independent,He will buy a new camera because his old one is broken,nat_09002.wav
past,naturalistic,10,nat_14791,emotion,plural,preposition,Were the women at the party feeling happy and carefree?,nat_14791.wav
future,naturalistic,9,nat_12484,emotion,plural,dependent,Will the kids who are playing feel carefree always?,nat_12484.wav
future,naturalistic,12,nat_15947,emotion,singular,preposition,Does she think the book on the table will make her sad?,nat_15947.wav
past,naturalistic,9,nat_03410,shopping,plural,dependent,The items on sale were not what we needed,nat_03410.wav
present,naturalistic,9,nat_02112,housing,singular,preposition,The couch in the living room is not comfortable,nat_02112.wav
present,naturalistic,10,nat_09016,art,singular,preposition,Her imagination runs wild when she is painting a landscape,nat_09016.wav
past,naturalistic,10,nat_11959,transport,plural,dependent,They didn't take the bus that went to the beach,nat_11959.wav
present,naturalistic,11,nat_08251,sport,singular,dependent,Is the man who is running a marathon very tired now?,nat_08251.wav
future,naturalistic,9,nat_08059,emotion,plural,dependent,Are the students who failed going to feel disappointed?,nat_08059.wav
future,naturalistic,9,nat_04918,emotion,plural,preposition,Will the people around her be scared of thunder?,nat_04918.wav
future,naturalistic,10,nat_15335,transport,plural,simple,Will we not be taking a taxi to the hotel?,nat_15335.wav
present,naturalistic,8,nat_18072,housing,plural,preposition,The colors of the walls are very soothing,nat_18072.wav
present,naturalistic,9,nat_16084,relationship,singular,dependent,The girl who shares my room is my sister,nat_16084.wav
past,naturalistic,8,nat_03725,shopping,plural,simple,The prices were lower than expected last week,nat_03725.wav
future,naturalistic,7,nat_15248,food,singular,simple,Will the patient not follow a diet?,nat_15248.wav
past,naturalistic,8,nat_18940,relationship,singular,dependent,My sister was happy when she got married,nat_18940.wav
present,naturalistic,12,nat_04046,work,plural,independent,Students learn new skills in school but also at home every day,nat_04046.wav
past,naturalistic,10,nat_13215,basic,singular,preposition,Did the woman in front of us buy a ticket?,nat_13215.wav
present,naturalistic,9,nat_18027,sport,singular,independent,My sister doesn't like to compete when she's stressed,nat_18027.wav
past,naturalistic,8,nat_13464,emotion,singular,dependent,He had been waiting for his girlfriend eagerly,nat_13464.wav
future,naturalistic,9,nat_17538,science,singular,dependent,The new smartphone will have advanced artificial intelligence features,nat_17538.wav
past,naturalistic,9,nat_03023,shopping,plural,preposition,The items on the shelves were arranged by price,nat_03023.wav
future,naturalistic,8,nat_03425,nature,singular,preposition,The sun will shine brightly over the ocean,nat_03425.wav
past,naturalistic,6,nat_19847,basic,singular,simple,The flowers were not watered today,nat_19847.wav
future,naturalistic,11,nat_13394,food,plural,preposition,Are the people at the festival going to try street food?,nat_13394.wav
past,naturalistic,11,nat_07462,emotion,singular,independent,Was she feeling scared when she watched the horror movie alone?,nat_07462.wav
past,naturalistic,7,nat_17164,food,plural,simple,Were the students allowed to drink soda?,nat_17164.wav
past,naturalistic,7,nat_00385,basic,singular,independent,You didn't invite me to your party,nat_00385.wav
present,naturalistic,8,nat_08985,humanity,singular,preposition,The journalist with the camera is taking photos,nat_08985.wav
present,naturalistic,11,nat_06179,shopping,singular,dependent,Is the price of this item not lower than that one?,nat_06179.wav
past,naturalistic,9,nat_01512,basic,singular,preposition,He had eaten all the cookies in the jar,nat_01512.wav
past,naturalistic,10,nat_02177,relationship,plural,dependent,Did the siblings who shared a room get along well?,nat_02177.wav
past,naturalistic,8,nat_03062,science,singular,independent,The astronomer used a telescope to study stars,nat_03062.wav
present,naturalistic,8,nat_07121,transport,singular,dependent,The boat that I own is very small,nat_07121.wav
past,naturalistic,8,nat_13770,health,plural,simple,Many people were not aware of the disease,nat_13770.wav
future,naturalistic,10,nat_10564,health,plural,independent,We will have more therapists because people need them now,nat_10564.wav
present,naturalistic,6,nat_16295,nature,plural,simple,Do birds migrate to warmer climates?,nat_16295.wav
present,naturalistic,6,nat_00351,nature,singular,simple,The valley is very green now,nat_00351.wav
present,naturalistic,7,nat_09466,emotion,plural,simple,Do the teachers not enjoy their jobs?,nat_09466.wav
past,naturalistic,11,nat_08407,humanity,plural,independent,The artists had not finished their work so they stayed late,nat_08407.wav
past,naturalistic,7,nat_14874,work,plural,simple,They didn't finish their homework last night,nat_14874.wav
present,naturalistic,9,nat_14233,transport,singular,dependent,I love the train that goes to the beach,nat_14233.wav
future,naturalistic,10,nat_18550,shopping,plural,preposition,Many items in that store will not be on sale,nat_18550.wav
past,naturalistic,10,nat_06798,food,singular,independent,Was the coffee hot when it was poured so quickly?,nat_06798.wav
future,naturalistic,11,nat_03901,housing,singular,independent,The bedroom will be cozy when I add some warm lighting,nat_03901.wav
future,naturalistic,8,nat_04509,emotion,singular,preposition,Will she not be excited about her trip?,nat_04509.wav
past,naturalistic,10,nat_16800,art,singular,preposition,Didn't she hate the color of the painting on display?,nat_16800.wav
present,naturalistic,7,nat_00971,shopping,plural,simple,They are not giving discounts to students,nat_00971.wav
future,naturalistic,11,nat_19287,shopping,plural,independent,The products will be cheaper if the customers buy in bulk,nat_19287.wav
future,naturalistic,10,nat_03047,relationship,plural,independent,Parents will attend the meeting so they can meet teachers,nat_03047.wav
future,naturalistic,9,nat_17306,transport,singular,simple,He will ride his bike to work every day,nat_17306.wav
past,naturalistic,7,nat_04653,housing,singular,dependent,The repairman didn't fix the leaky faucet,nat_04653.wav
future,naturalistic,11,nat_02392,work,singular,preposition,A person with experience will be hired for this position easily,nat_02392.wav
present,naturalistic,9,nat_05786,science,plural,dependent,Are the programs that they write not running smoothly?,nat_05786.wav
present,naturalistic,10,nat_18687,relationship,singular,independent,Is my sister not sleeping yet because she's not tired?,nat_18687.wav
past,naturalistic,7,nat_18144,emotion,singular,simple,The man had been feeling anxious lately,nat_18144.wav
past,naturalistic,11,nat_01290,art,singular,independent,Did she learn to dance so she could perform on stage?,nat_01290.wav
present,naturalistic,8,nat_02958,shopping,singular,dependent,The employee who helped me was very knowledgeable,nat_02958.wav
past,naturalistic,9,nat_12634,weather,singular,dependent,Was the air very humid where you were staying?,nat_12634.wav
future,naturalistic,10,nat_15765,transport,singular,dependent,The bike lane that I use will be closed tomorrow,nat_15765.wav
future,naturalistic,7,nat_18169,relationship,singular,preposition,His sister will have eaten dinner already,nat_18169.wav
present,naturalistic,9,nat_02712,transport,singular,dependent,Does she own a car that is very fast?,nat_02712.wav
past,naturalistic,10,nat_04847,nature,singular,simple,A little squirrel had hidden its nuts in the tree,nat_04847.wav
present,naturalistic,10,nat_02252,food,plural,preposition,Are the eggs in the fridge not good to eat?,nat_02252.wav
present,naturalistic,10,nat_18838,weather,plural,independent,The beach is crowded so we go to the park,nat_18838.wav
present,naturalistic,11,nat_00960,food,plural,independent,Many women are not good cooks but they try their best,nat_00960.wav
past,naturalistic,10,nat_04941,art,plural,independent,Had the musicians been playing together since they were kids?,nat_04941.wav
present,naturalistic,10,nat_10347,food,plural,independent,Do chefs cook meals because they love food so much?,nat_10347.wav
past,naturalistic,9,nat_13863,transport,singular,preposition,Was the bus next to you very crowded yesterday?,nat_13863.wav
past,naturalistic,8,nat_09238,food,singular,preposition,The man in the kitchen did not cook,nat_09238.wav
present,naturalistic,6,nat_16301,emotion,singular,simple,His sister is not excited today,nat_16301.wav
past,naturalistic,11,nat_07646,basic,plural,independent,Why did the guests not arrive when we had invited them?,nat_07646.wav
future,naturalistic,8,nat_10120,basic,singular,simple,Will you have finished your homework by then?,nat_10120.wav
past,naturalistic,9,nat_03165,basic,plural,independent,They were leaving when we said goodbye to them,nat_03165.wav
past,naturalistic,9,nat_09397,food,singular,independent,I had eaten lunch but my friend was starving,nat_09397.wav
future,naturalistic,8,nat_17687,transport,singular,simple,Can he ride a bike on the highway?,nat_17687.wav
future,naturalistic,10,nat_09252,humanity,plural,dependent,Are the artists going to create paintings that inspire us?,nat_09252.wav
past,naturalistic,9,nat_14762,science,plural,simple,Were the results of the experiment surprising to them?,nat_14762.wav
past,naturalistic,6,nat_07585,nature,plural,simple,The kids saw many butterflies yesterday,nat_07585.wav
past,naturalistic,9,nat_04345,emotion,plural,preposition,Did the people next to you not feel sad?,nat_04345.wav
past,naturalistic,10,nat_03910,science,plural,independent,The researchers found a solution where others had failed before,nat_03910.wav
future,naturalistic,10,nat_16880,humanity,singular,simple,Will the new policy affect the economy in the future?,nat_16880.wav
future,naturalistic,10,nat_01968,work,plural,preposition,Are the managers going to hire more staff in future?,nat_01968.wav
future,naturalistic,8,nat_16980,nature,singular,simple,Can the rabbit find food in the winter?,nat_16980.wav
future,naturalistic,9,nat_10359,nature,singular,independent,A rabbit will burrow where the ground is soft,nat_10359.wav
present,naturalistic,7,nat_01838,health,singular,simple,Does it still hurt when you cough?,nat_01838.wav
future,naturalistic,11,nat_12988,transport,plural,independent,The tourists will get lost because they do not have maps,nat_12988.wav
future,naturalistic,9,nat_03649,housing,plural,simple,No one will help us move the furniture tomorrow,nat_03649.wav
future,naturalistic,10,nat_01805,relationship,plural,preposition,Our neighbors will become like a second family to us,nat_01805.wav
present,naturalistic,10,nat_10013,sport,plural,preposition,The guys next to me are discussing the football game,nat_10013.wav
present,naturalistic,8,nat_01114,weather,singular,dependent,Is the frost that we see not beautiful?,nat_01114.wav
past,naturalistic,9,nat_19789,art,plural,preposition,The books on the shelf had not been read,nat_19789.wav
future,naturalistic,11,nat_16857,health,plural,dependent,Are the children who play outside less likely to be obese?,nat_16857.wav
future,naturalistic,11,nat_04347,work,singular,independent,The school will organize a career fair where students meet employers,nat_04347.wav
present,naturalistic,9,nat_10215,relationship,singular,dependent,Is the person that my brother dislikes very mean?,nat_10215.wav
future,naturalistic,8,nat_13513,basic,plural,preposition,Are the neighbors going to join our party?,nat_13513.wav
present,naturalistic,6,nat_14236,nature,singular,simple,A bird sings sweet melodies outside,nat_14236.wav
present,naturalistic,9,nat_02444,shopping,plural,preposition,Do the stores on this street sell similar products?,nat_02444.wav
present,naturalistic,9,nat_14529,sport,singular,independent,She eats healthy food because she is an athlete,nat_14529.wav
past,naturalistic,9,nat_08180,nature,singular,dependent,The river had been polluted for many years already,nat_08180.wav
future,naturalistic,9,nat_07749,food,plural,dependent,Will the people on diet eat the salad tonight?,nat_07749.wav
present,naturalistic,9,nat_19163,weather,singular,preposition,The forecast says it will rain all day tomorrow,nat_19163.wav
present,naturalistic,8,nat_08170,housing,singular,preposition,Doesn't she want to buy new furniture now?,nat_08170.wav
future,naturalistic,10,nat_11736,art,plural,independent,The orchestra will play famous music because it is popular,nat_11736.wav
past,naturalistic,9,nat_03394,sport,singular,preposition,She had been practicing yoga for three years already,nat_03394.wav
future,naturalistic,11,nat_08452,food,singular,preposition,Does the man in the kitchen not know how to cook?,nat_08452.wav
present,naturalistic,9,nat_13748,basic,plural,dependent,Can the fans who are cheering get autographs now?,nat_13748.wav
future,naturalistic,11,nat_19106,science,singular,dependent,Can the electric car that he will drive not go far?,nat_19106.wav
past,naturalistic,7,nat_12593,basic,plural,simple,Did the neighbors hear the noise too?,nat_12593.wav
present,naturalistic,6,nat_11132,health,singular,simple,Isn't he on a diet now?,nat_11132.wav
past,naturalistic,10,nat_18095,food,singular,independent,Was the recipe easy to follow if you read carefully?,nat_18095.wav
past,naturalistic,7,nat_16533,work,singular,simple,The job did not pay well enough,nat_16533.wav
present,naturalistic,12,nat_06733,art,plural,independent,Do art teachers give lessons for free or do they get paid?,nat_06733.wav
future,naturalistic,11,nat_13695,health,singular,independent,The woman will not sleep tonight nor will she rest tomorrow,nat_13695.wav
past,naturalistic,10,nat_05547,basic,plural,preposition,The flowers in the vase were given by our friends,nat_05547.wav
future,naturalistic,11,nat_01739,sport,singular,dependent,The athlete who is injured will not participate in the game,nat_01739.wav
present,naturalistic,10,nat_17383,work,plural,dependent,Are the courses that the professors teach interesting and engaging?,nat_17383.wav
future,naturalistic,6,nat_12143,weather,plural,simple,Will the summer be unbearably hot?,nat_12143.wav
future,naturalistic,7,nat_18528,nature,singular,simple,The tree will not bloom this year,nat_18528.wav
future,naturalistic,11,nat_04450,sport,singular,dependent,Will the person who runs the fastest get a big prize?,nat_04450.wav
future,naturalistic,10,nat_11365,relationship,singular,preposition,Won't the brother of my mother be visiting us tomorrow?,nat_11365.wav
past,naturalistic,10,nat_16772,sport,plural,simple,The football players had eaten a big meal before kickoff,nat_16772.wav
past,naturalistic,9,nat_11963,science,singular,independent,The phone wasn't working when I needed it most,nat_11963.wav
present,naturalistic,7,nat_08845,nature,plural,preposition,The forests around the world are shrinking,nat_08845.wav
past,naturalistic,7,nat_15750,basic,singular,simple,The man was very polite to me,nat_15750.wav
past,naturalistic,9,nat_18713,emotion,singular,independent,She didn't go out because she was feeling depressed,nat_18713.wav
past,naturalistic,8,nat_07341,transport,plural,dependent,Those tourists didn't know the roads were closed,nat_07341.wav
past,naturalistic,8,nat_05380,basic,singular,preposition,Was the book on the shelf not interesting?,nat_05380.wav
past,naturalistic,9,nat_18450,emotion,plural,dependent,Did the people who won the contest feel proud?,nat_18450.wav
past,naturalistic,8,nat_10984,nature,singular,preposition,Did the rabbit hide behind a big bush?,nat_10984.wav
past,naturalistic,10,nat_10342,sport,singular,preposition,The boxer in the ring had been fighting for years,nat_10342.wav
present,naturalistic,10,nat_02277,work,singular,dependent,Can someone with no experience get a job in management?,nat_02277.wav
present,naturalistic,11,nat_16617,housing,singular,independent,Does it take long to fix a leaky faucet or not?,nat_16617.wav
future,naturalistic,7,nat_13332,humanity,singular,simple,He will not give a speech tonight,nat_13332.wav
